rank,german,dutch,dutch_alt,dutch_article,pos,lemma_used,match_type,frequency,per_million
4928,dokumente,document,,,Substantiv,Dokument,lemma,1737,11.12
4929,fröhlich,vrolijk,,,Adjektiv,,direct,1736,11.12
4930,spezies,soort,,,Substantiv,,direct,1735,11.11
4931,oktober,oktober,,de,Substantiv,,direct,1735,11.11
4932,schachtel,doos,,,Substantiv,,direct,1733,11.10
4933,opfers,offer,slachtoffer,,Substantiv,Opfer,lemma,1733,11.10
4934,noten,bladmuziek,,,,,direct,1733,11.10
4935,ellie,,,,,,none,1733,11.10
4936,irgendwohin,ergens heen,,,Adverb,,direct,1733,11.10
4937,nora,,,,,,none,1732,11.09
4938,brunnen,put,waterput,de,Substantiv,,direct,1732,11.09
4939,toby,,,,,,none,1732,11.09
4940,sandy,,,,,,none,1731,11.08
4941,lampe,lamp,,,Substantiv,,direct,1731,11.08
4942,craig,,,,,,none,1731,11.08
4943,jagt,jagen,,,Verb,jagen,lemma,1730,11.08
4944,eigentum,eigendom,,de,Substantiv,,direct,1730,11.08
4945,diebstahl,diefstal,,de,Substantiv,,direct,1730,11.08
4946,spenden,overhandigen,,,Verb,,direct,1729,11.07
4947,betrieb,vervoer,,,Substantiv,,direct,1729,11.07
4948,gemeinsame,gemeenschappelijk,gezamenlijk,,Adjektiv,gemeinsam,lemma,1728,11.06
4949,absurd,absurd,,,Adjektiv,,direct,1728,11.06
4950,gegensatz,tegenovergestelde,,,Substantiv,,direct,1728,11.06
4951,frühling,lente,voorjaar,de,Substantiv,,direct,1728,11.06
4952,dünn,dun,mager,,Adjektiv,,direct,1727,11.06
4953,ausland,buitenland,,het,Substantiv,,direct,1727,11.06
4954,schultern,aanbrengen,,,Verb,,direct,1727,11.06
4955,entwicklung,ontwikkeling,,,Substantiv,,direct,1726,11.05
4956,vergehen,voorbijgaan,,,Verb,,direct,1726,11.05
4957,ahnen,verdenken,,,Verb,,direct,1726,11.05
4958,verbessern,verbeteren,,,Verb,,direct,1725,11.05
4959,herzog,hertog,,de,Substantiv,,direct,1725,11.05
4960,diskussion,bespreking,discussie,de,Substantiv,,direct,1724,11.04
4961,gehalt,gehalte,,,Substantiv,,direct,1724,11.04
4962,lemon,,,,,,none,1723,11.03
4963,freak,engerd,,de,Substantiv,,direct,1723,11.03
4964,glocke,klok,bel,,Substantiv,,direct,1722,11.03
4965,forschung,onderzoek,research; navorsing,,Substantiv,,direct,1722,11.03
4966,geradeaus,rechtdoor,,,Adverb,,direct,1722,11.03
4967,fette,,,,,,none,1721,11.02
4968,iris,iris,,,Substantiv,,direct,1720,11.01
4969,rechnungen,rekening,nota,,Substantiv,Rechnung,lemma,1720,11.01
4970,kasse,kas,bank,,Substantiv,,direct,1720,11.01
4971,tödlich,dodelijk,,,Adjektiv,,direct,1720,11.01
4972,tieren,dier,beest,het,Substantiv,Tier,lemma,1719,11.01
4973,ian,,,,,,none,1719,11.01
4974,oberfläche,oppervlak,oppervlakte,het,Substantiv,,direct,1719,11.01
4975,gitarre,gitaar,,,Substantiv,,direct,1719,11.01
4976,bedienen,opereren,,,Verb,,direct,1719,11.01
4977,jan,Jan,,,Substantiv,,direct,1717,10.99
4978,zwang,dwang,,de,Substantiv,,direct,1717,10.99
4979,marsh,,,,,,none,1716,10.99
4980,politiker,politicus,,,Substantiv,,direct,1716,10.99
4981,bären,,,,,,none,1716,10.99
4982,vereint,verenigd,,,Adjektiv,,direct,1716,10.99
4983,irgendeiner,enkele,,,Indefinitpronomen,irgendein,lemma,1715,10.98
4984,ward,worden,zullen; gaan,,Verb,werden,lemma,1714,10.98
4985,besuche,bezoeken,opzoeken,,Verb,besuchen,lemma,1714,10.98
4986,schreckliches,verschrikkelijk,schrikkelig,,Adjektiv,schrecklich,lemma,1714,10.98
4987,schoss,,,,,,none,1714,10.98
4988,collins,,,,,,none,1713,10.97
4989,werkzeug,gereedschap,werktuig,,Substantiv,,direct,1712,10.96
4990,kranken,ziek,,,Adjektiv,krank,lemma,1711,10.96
4991,neffe,neef,oomzegger,de,Substantiv,,direct,1710,10.95
4992,sue,,,,,,none,1710,10.95
4993,dauerte,duren,,,Verb,dauern,lemma,1710,10.95
4994,brooklyn,,,,,,none,1710,10.95
4995,lebenden,levend,,,Adjektiv,lebend,lemma,1709,10.94
4996,bevölkerung,bevolking,zielental,,Substantiv,,direct,1709,10.94
4997,hergebracht,,,,,,none,1708,10.94
4998,just,billijk,,,Adverb,,direct,1707,10.93
4999,durchziehen,insteken,,,Verb,,direct,1707,10.93
5000,gepackt,inpakken,,,Verb,packen,lemma,1707,10.93
5001,service,servies,dienst,,Substantiv,,direct,1707,10.93
5002,furchtbare,verschrikkelijk,,,Adjektiv,furchtbar,lemma,1706,10.92
5003,liebster,lief,,,Adjektiv,lieb,lemma,1706,10.92
5004,flieger,vliegenier,,,Substantiv,,direct,1705,10.92
5005,vorschriften,regel,,de,Substantiv,Vorschrift,lemma,1704,10.91
5006,beherrschen,beheersen,,,Verb,,direct,1703,10.90
5007,guy,,,,,,none,1703,10.90
5008,detail,detail,,,Substantiv,,direct,1703,10.90
5009,ausgewählt,uitkiezen,,,Verb,auswählen,lemma,1703,10.90
5010,herunter,neer,benedenwaarts,,Lokaladverb,,direct,1703,10.90
5011,schriftsteller,schrijver,auteur,de,Substantiv,,direct,1702,10.90
5012,wärt,zijn,wezen,,Verb,sein,lemma,1702,10.90
5013,kümmer,,,,,,none,1701,10.89
5014,andererseits,anderzijds,,,Adverb,,direct,1700,10.89
5015,bay,,,,,,none,1700,10.89
5016,gene,gen,,,Substantiv,Gen,lemma,1699,10.88
5017,shuttle,pendelbus,,,Substantiv,,direct,1699,10.88
5018,üblich,gebruikelijk,,,Adjektiv,,direct,1699,10.88
5019,entführen,kapen,ontvoeren,,Verb,,direct,1699,10.88
5020,ike,,,,,,none,1698,10.87
5021,jury,jury,,,Substantiv,,direct,1697,10.87
5022,box,pit,,,Substantiv,,direct,1697,10.87
5023,ausgedacht,,,,,,none,1696,10.86
5024,freddy,,,,,,none,1696,10.86
5025,partys,fuif,feest,,Substantiv,Party,lemma,1695,10.85
5026,rausgefunden,,,,,,none,1695,10.85
5027,plant,planning,,,Substantiv,planen,lemma,1694,10.85
5028,feige,vijg,vijgeboom,,Substantiv,,direct,1694,10.85
5029,gesungen,zingen,,,Verb,singen,lemma,1693,10.84
5030,möbel,meubel,,,Substantiv,,direct,1693,10.84
5031,bewährung,proefverlof,,,Substantiv,,direct,1692,10.83
5032,schieße,schieten,,,Verb,schießen,lemma,1692,10.83
5033,umgeben,insluiten,,,Verb,,direct,1692,10.83
5034,berater,adviseur,,de,Substantiv,,direct,1692,10.83
5035,bailey,,,,,,none,1689,10.82
5036,zoo,dierentuin,zoo,,Substantiv,,direct,1689,10.82
5037,gedicht,gedicht,vers,,Substantiv,,direct,1688,10.81
5038,lorelai,,,,,,none,1688,10.81
5039,bellt,blaffen,,,Verb,bellen,lemma,1687,10.80
5040,vorschlagen,voorstellen,aandragen,,Verb,,direct,1686,10.80
5041,genießt,genieten,,,Verb,genießen,lemma,1686,10.80
5042,baseball,honkbal,,,Substantiv,,direct,1686,10.80
5043,locken,lokken,,,Verb,,direct,1686,10.80
5044,ooh,,,,,,none,1686,10.80
5045,trennung,scheiding,,de,Substantiv,,direct,1685,10.79
5046,lautsprecher,luidspreker,box,,Substantiv,,direct,1684,10.78
5047,ticket,ticket,,,Substantiv,,direct,1684,10.78
5048,umwerfend,impressionant,,,Adjektiv,,direct,1680,10.76
5049,kanzlei,kanselarij,,,Substantiv,,direct,1680,10.76
5050,wahres,waar,,,Adjektiv,wahr,lemma,1680,10.76
5051,zufolge,volgens,,,Präposition,,direct,1680,10.76
5052,come,,,,,,none,1680,10.76
5053,hebt,heffen,,,Verb,heben,lemma,1679,10.75
5054,anschlag,aanslag,,de,Substantiv,,direct,1678,10.74
5055,timing,timing,,,Substantiv,,direct,1678,10.74
5056,kid,,,,,,none,1677,10.74
5057,tucker,,,,,,none,1676,10.73
5058,befehlen,bevelen,gelasten,,Verb,,direct,1676,10.73
5059,etage,verdieping,,,Substantiv,,direct,1675,10.73
5060,dazwischen,tussenin,,,Adverb,,direct,1674,10.72
5061,jules,,,,,,none,1674,10.72
5062,heisst,,,,,,none,1674,10.72
5063,objekt,voorwerp,object,,Substantiv,,direct,1674,10.72
5064,bedaure,betreuren,,,Verb,bedauern,lemma,1673,10.71
5065,wobei,terwijl,,,Pronominaladverb,,direct,1673,10.71
5066,kokain,cocaïne,coke,het,Substantiv,,direct,1672,10.71
5067,strategie,strategie,,,Substantiv,,direct,1671,10.70
5068,freundes,vriend,,de,Substantiv,Freund,lemma,1670,10.69
5069,wolken,wolk,,de,Substantiv,Wolke,lemma,1670,10.69
5070,gräfin,gravin,,de,Substantiv,,direct,1670,10.69
5071,bruno,,,,,,none,1666,10.67
5072,getreten,trappen,schoppen,,Verb,treten,lemma,1666,10.67
5073,cal,,,,,,none,1666,10.67
5074,pardon,excuseer?,,,Substantiv,,direct,1666,10.67
5075,genosse,makker,genoot; lid,de,Substantiv,,direct,1665,10.66
5076,ungut,ambetant,,,,,direct,1664,10.66
5077,verteilen,verspreiden,,,Verb,,direct,1664,10.66
5078,fuchs,vos,schacht,de,Substantiv,,direct,1664,10.66
5079,day,,,,,,none,1664,10.66
5080,organisiert,,,,,,none,1663,10.65
5081,bla,,,,,,none,1663,10.65
5082,up,,,,,,none,1662,10.64
5083,world,,,,,,none,1661,10.64
5084,east,,,,,,none,1661,10.64
5085,löcher,,,,,,none,1661,10.64
5086,aktiv,actief,,,Adjektiv,,direct,1659,10.62
5087,hunter,,,,,,none,1659,10.62
5088,werfe,werpen,,,Verb,werfen,lemma,1659,10.62
5089,beantwortet,,,,,,none,1659,10.62
5090,meist,meest,,,Adjektiv,,direct,1658,10.62
5091,reis,rijst,,de,Substantiv,,direct,1658,10.62
5092,hierhin,,,,,,none,1657,10.61
5093,scotch,,,,,,none,1657,10.61
5094,überfahren,overrijden,,,Verb,,direct,1656,10.60
5095,logisch,logisch,,,Adjektiv,,direct,1656,10.60
5096,heather,,,,,,none,1656,10.60
5097,französische,Frans,Franse taal,de/het,Substantiv,französisch,lemma,1655,10.60
5098,bekannte,bekende,,,Substantiv,,direct,1655,10.60
5099,episode,episode,gebeuren,,Substantiv,,direct,1655,10.60
5100,engagiert,geëngageerd,,,Adjektiv,,direct,1654,10.59
5101,manipuliert,,,,,,none,1654,10.59
5102,zellen,cel,,,Substantiv,Zelle,lemma,1654,10.59
5103,are,,,,,,none,1653,10.58
5104,blake,flakkeren,flikkeren; walmen,,Verb,blaken,lemma,1652,10.58
5105,dienste,dienst,,de,Substantiv,Dienst,lemma,1652,10.58
5106,sodass,zodat,,,Subjunktion,,direct,1652,10.58
5107,volkes,volk,bevolking,,Substantiv,Volk,lemma,1651,10.57
5108,golf,golf,,,Substantiv,,direct,1651,10.57
5109,janet,,,,,,none,1651,10.57
5110,schmeißen,gooien,,,Verb,,direct,1651,10.57
5111,grand,,,,,,none,1650,10.57
5112,zurückgekehrt,terugkomen,,,Verb,zurückkehren,lemma,1650,10.57
5113,eröffnet,,,,,,none,1650,10.57
5114,summt,brommen,,,Verb,summen,lemma,1649,10.56
5115,unterrichten,leren,,,Verb,,direct,1649,10.56
5116,verschaffen,verstrekken,,,Verb,,direct,1648,10.55
5117,verlobte,verloofde,,,Substantiv,,direct,1648,10.55
5118,erfahrungen,ervaring,,de,Substantiv,Erfahrung,lemma,1648,10.55
5119,shit,geen reet,,,Substantiv,,direct,1647,10.55
5120,persönlichkeit,persoonlijkheid,,,Substantiv,,direct,1647,10.55
5121,gina,,,,,,none,1647,10.55
5122,streichen,aaien,,,Verb,,direct,1647,10.55
5123,offenen,open,,,Adjektiv,offen,lemma,1646,10.54
5124,weisheit,wijsheid,,,Substantiv,,direct,1645,10.53
5125,vergeht,voorbijgaan,,,Verb,vergehen,lemma,1645,10.53
5126,beruhig,kalmeren,,,Verb,beruhigen,lemma,1645,10.53
5127,zielen,richten,,,Verb,,direct,1645,10.53
5128,fans,supporter,,,Substantiv,Fan,lemma,1644,10.53
5129,wüsstest,weten,,,Verb,wissen,lemma,1644,10.53
5130,ashley,,,,,,none,1643,10.52
5131,schuldet,schulden,,,Substantiv,schulden,lemma,1643,10.52
5132,erhöhen,verheffen,,,Verb,,direct,1643,10.52
5133,schönsten,mooi,leuk,,Adjektiv,schön,lemma,1643,10.52
5134,momente,moment,tijdstip; ogenblik,,Substantiv,Moment,lemma,1643,10.52
5135,adrian,Adriaan,Adriaen,,Substantiv,,direct,1643,10.52
5136,kameraden,kameraad,,,Substantiv,Kamerad,lemma,1642,10.51
5137,eingebrochen,,,,,,none,1642,10.51
5138,amüsiert,,,,,,none,1640,10.50
5139,erwähnte,vermelden,noemen; citeren; opmerken,,Verb,erwähnen,lemma,1639,10.50
5140,mitch,,,,,,none,1639,10.50
5141,premierminister,eerste minister,,,Substantiv,,direct,1639,10.50
5142,geringste,klein,,,Adjektiv,gering,lemma,1639,10.50
5143,übernachten,overnachten,,,Verb,,direct,1638,10.49
5144,infiziert,,,,,,none,1638,10.49
5145,goa,Goa,,,Substantiv,,direct,1637,10.48
5146,dinner,avondeten,,het,Substantiv,,direct,1637,10.48
5147,rieche,ruiken,,,Verb,riechen,lemma,1637,10.48
5148,kredit,krediet,,,Substantiv,,direct,1637,10.48
5149,allison,,,,,,none,1636,10.48
5150,lake,brijnwater,,,Substantiv,,direct,1636,10.48
5151,legal,legaal,,,Adjektiv,,direct,1634,10.46
5152,merke,onthouden,bemerken; merken,,Verb,merken,lemma,1634,10.46
5153,jubel,gejuich,,,Substantiv,,direct,1634,10.46
5154,klänge,klinken,,,Verb,klingen,lemma,1634,10.46
5155,größeren,groot,volwassene,,Adjektiv,groß,lemma,1633,10.46
5156,bewacht,,,,,,none,1633,10.46
5157,vietnam,Vietnam,,,Substantiv,,direct,1633,10.46
5158,lehren,leren,aanleren,,Verb,,direct,1633,10.46
5159,chandler,,,,,,none,1632,10.45
5160,präsentieren,voorstellen,,,Verb,,direct,1632,10.45
5161,nacken,nek,,de,Substantiv,,direct,1631,10.44
5162,auflegen,aanmeten,,,Verb,,direct,1631,10.44
5163,vergangen,afgelopen,verleden,,Adjektiv,,direct,1631,10.44
5164,fangt,tikkertje,krijgertje; pakkertje,,Substantiv,fangen,lemma,1630,10.44
5165,hühner,kip,kippevlees; hoen,de,Substantiv,Huhn,lemma,1630,10.44
5166,hector,,,,,,none,1630,10.44
5167,teal,,,,,,none,1630,10.44
5168,sprengen,opblazen,,,Verb,,direct,1629,10.43
5169,einsperren,aanhouden,,,Verb,,direct,1629,10.43
5170,turner,gymnast,,,Substantiv,,direct,1629,10.43
5171,zusammenhang,samenhang,kader,,Substantiv,,direct,1629,10.43
5172,wahrer,waar,,,Adjektiv,wahr,lemma,1627,10.42
5173,joan,,,,,,none,1627,10.42
5174,marco,Evangelie naar Marcus,,,Substantiv,,direct,1627,10.42
5175,breit,breed,beschonken; dronken,,Adjektiv,,direct,1626,10.41
5176,pfeife,pijp,,,Substantiv,,direct,1626,10.41
5177,treibst,stuwen,,,Verb,treiben,lemma,1626,10.41
5178,rannte,rennen,hollen,,Verb,rennen,lemma,1625,10.41
5179,beschuldigt,,,,,,none,1625,10.41
5180,set,set,,de,Substantiv,,direct,1624,10.40
5181,verlegt,,,,,,none,1624,10.40
5182,überraschungen,verrassing,verbazing,de,Substantiv,Überraschung,lemma,1624,10.40
5183,orleans,koesoewé,,,Substantiv,Orlean,lemma,1624,10.40
5184,douglas,,,,,,none,1624,10.40
5185,tauchen,duiken,,,Verb,,direct,1623,10.39
5186,verdanken,dienen,,,Verb,,direct,1623,10.39
5187,nadel,naald,,,Substantiv,,direct,1622,10.39
5188,psst,,,,,,none,1621,10.38
5189,gelacht,lachen,dubbel liggen,,Verb,lachen,lemma,1621,10.38
5190,apfel,appel,,de,Substantiv,,direct,1621,10.38
5191,behilflich,,,,,,none,1620,10.37
5192,dreckskerl,katijf,,,,,direct,1620,10.37
5193,mitgefühl,medelijden,medegevoel; medeleven,,Substantiv,,direct,1620,10.37
5194,wichtigsten,belangrijk,,,Adjektiv,wichtig,lemma,1620,10.37
5195,krieges,oorlog,krijg,de,Substantiv,Krieg,lemma,1620,10.37
5196,wehe,wee,,,Substantiv,,direct,1619,10.37
5197,hope,,,,,,none,1618,10.36
5198,heirat,huwelijk,,,Substantiv,,direct,1617,10.35
5199,exakt,exact,,,Adjektiv,,direct,1617,10.35
5200,widerstehen,weerstaan,,,Verb,,direct,1617,10.35
5201,höchst,allemachtig,,,Adverb,,direct,1616,10.35
5202,zurückgelassen,achterlaten,,,Verb,zurücklassen,lemma,1614,10.33
5203,gespürt,aanvoelen,,,Verb,spüren,lemma,1614,10.33
5204,methoden,methode,,,Substantiv,Methode,lemma,1614,10.33
5205,interessantes,interessant,belangwekkend; boeiend,,Adjektiv,interessant,lemma,1614,10.33
5206,sau,zeug,wilde zeug,,Substantiv,,direct,1613,10.33
5207,notaufnahme,spoedeisende hulp,,,Substantiv,,direct,1613,10.33
5208,verwandten,verwant,,,Adjektiv,verwandt,lemma,1613,10.33
5209,jeffrey,,,,,,none,1612,10.32
5210,trinkgeld,fooi,drinkgeld,,Substantiv,,direct,1612,10.32
5211,ermitteln,aantreffen,,,Verb,,direct,1612,10.32
5212,riechst,ruiken,,,Verb,riechen,lemma,1612,10.32
5213,beach,,,,,,none,1612,10.32
5214,sorte,soort,,,Substantiv,,direct,1611,10.32
5215,kartoffeln,aardappel,patat; pieper,de,Substantiv,Kartoffel,lemma,1611,10.32
5216,bo,,,,,,none,1610,10.31
5217,elefanten,olifant,,de,Substantiv,Elefant,lemma,1610,10.31
5218,sichere,veilig,zeker,,Adjektiv,sicher,lemma,1610,10.31
5219,sämtliche,,,,,,none,1610,10.31
5220,gekündigt,kondigen,,,Verb,kündigen,lemma,1609,10.30
5221,vereinbarung,overeenkomst,,de,Substantiv,,direct,1608,10.30
5222,harmlos,onschuldig,,,Adjektiv,,direct,1608,10.30
5223,weiber,wijf,,,Substantiv,Weib,lemma,1608,10.30
5224,this,,,,,,none,1608,10.30
5225,dicken,verbreden,,,Verb,,direct,1607,10.29
5226,rauskommt,,,,,,none,1606,10.28
5227,old,,,,,,none,1606,10.28
5228,angestellten,bediende,,,Adjektiv,angestellt,lemma,1605,10.28
5229,datum,datum,,de,Substantiv,,direct,1605,10.28
5230,bezug,bedekking,relatie; verwijzing; aanbod,,Substantiv,,direct,1605,10.28
5231,kerzen,kaars,bougie,de,Substantiv,Kerze,lemma,1605,10.28
5232,lawrence,,,,,,none,1604,10.27
5233,marsch,mars,,,Substantiv,,direct,1604,10.27
5234,benötigt,benodigd,,,Adjektiv,,direct,1603,10.26
5235,ermittlung,onderzoek,,,Substantiv,,direct,1603,10.26
5236,lagen,liggen,,,Verb,liegen,lemma,1603,10.26
5237,unbekannt,onbekend,,,Adjektiv,,direct,1603,10.26
5238,gefressen,,,,,,none,1603,10.26
5239,brett,plank,,,Substantiv,,direct,1603,10.26
5240,manieren,manier,,,Substantiv,Manier,lemma,1602,10.26
5241,han,,,,,,none,1602,10.26
5242,enthält,bevatten,inhouden,,Verb,enthalten,lemma,1601,10.25
5243,anfing,beginnen,,,Verb,anfangen,lemma,1601,10.25
5244,kümmerst,behartigen,,,Verb,kümmern,lemma,1601,10.25
5245,berühmte,beroemd,,,Adjektiv,berühmt,lemma,1600,10.25
5246,schwieriger,moeilijk,,,Adjektiv,schwierig,lemma,1599,10.24
5247,piloten,piloot,vliegenier; loods; vlieger,de,Substantiv,Pilot,lemma,1598,10.23
5248,scherze,gekscheren,,,Verb,scherzen,lemma,1598,10.23
5249,anfängt,beginnen,,,Verb,anfangen,lemma,1597,10.23
5250,läufst,rennen,lopen; hollen; werken,,Verb,laufen,lemma,1597,10.23
5251,bekannten,beroemd,,,Adjektiv,bekannt,lemma,1597,10.23
5252,rasen,gazon,grasveld,,Substantiv,,direct,1596,10.22
5253,empfehlen,aanbevelen,aanraden; adviseren; aanprijzen,,Verb,,direct,1596,10.22
5254,härter,stug,hard,,Adjektiv,hart,lemma,1596,10.22
5255,geweckt,wekken,,,Verb,wecken,lemma,1595,10.21
5256,befördert,,,,,,none,1595,10.21
5257,reiter,ruiter,rijder,de,Substantiv,,direct,1595,10.21
5258,empfinden,voelen,,,Verb,,direct,1595,10.21
5259,bereite,klaar,,,Adjektiv,bereit,lemma,1595,10.21
5260,täte,doen,,,Verb,tun,lemma,1594,10.21
5261,benutzte,gebruiken,,,Verb,benutzen,lemma,1594,10.21
5262,halloween,Halloween,,,Substantiv,,direct,1594,10.21
5263,abgesagt,afzeggen,,,Verb,absagen,lemma,1594,10.21
5264,down,verdrietig,,,Adjektiv,,direct,1594,10.21
5265,quasi,in feite,praktisch; vrijwel,,Adverb,,direct,1593,10.20
5266,kocht,koken,,,Verb,kochen,lemma,1593,10.20
5267,reingekommen,,,,,,none,1593,10.20
5268,hupen,toeteren,claxonneren,,Verb,,direct,1592,10.19
5269,hinunter,beneden,,,Lokaladverb,,direct,1592,10.19
5270,vorüber,voorbij,,,Lokaladverb,,direct,1591,10.19
5271,ausdrücken,uitdrukken,,,Verb,,direct,1590,10.18
5272,reese,,,,,,none,1589,10.17
5273,elliot,,,,,,none,1589,10.17
5274,perfekten,perfect,,,Adjektiv,perfekt,lemma,1588,10.17
5275,folgte,volgen,,,Verb,folgen,lemma,1588,10.17
5276,rebellen,rebel,,,Substantiv,Rebell,lemma,1588,10.17
5277,di,,,,,,none,1588,10.17
5278,hauptsächlich,hoofdzakelijk,,,Adjektiv,,direct,1587,10.16
5279,schuppen,loods,schuur; hok; keet,de,Substantiv,,direct,1587,10.16
5280,braver,braaf,,,Adjektiv,brav,lemma,1587,10.16
5281,neill,,,,,,none,1587,10.16
5282,zwanzig,twintig,,,Numerale,,direct,1587,10.16
5283,berichtet,,,,,,none,1586,10.16
5284,einrichtung,instelling,inrichting; installatie,de,Substantiv,,direct,1586,10.16
5285,november,november,slachtmaand,de,Substantiv,,direct,1586,10.16
5286,sensoren,sensor,,,,Sensor,lemma,1585,10.15
5287,korrigiert,,,,,,none,1585,10.15
5288,houston,,,,,,none,1584,10.14
5289,richie,,,,,,none,1583,10.14
5290,verdächtig,verdacht,,,Adjektiv,,direct,1583,10.14
5291,legst,leggen,plaatsen,,Verb,legen,lemma,1583,10.14
5292,aufgebracht,ballistisch,,,Adjektiv,,direct,1582,10.13
5293,alternative,alternatief,,,Substantiv,,direct,1582,10.13
5294,experte,expert,deskundige,,Substantiv,,direct,1582,10.13
5295,ferne,verte,,,Substantiv,,direct,1581,10.12
5296,prinzip,principe,beginsel,het,Substantiv,,direct,1581,10.12
5297,holte,halen,,,Verb,holen,lemma,1581,10.12
5298,richte,richten,,,Verb,richten,lemma,1579,10.11
5299,donald,,,,,,none,1579,10.11
5300,weisen,wijzen,,,Verb,,direct,1579,10.11
5301,ozean,oceaan,,,Substantiv,,direct,1578,10.10
5302,gelungen,gelukt,,,Adjektiv,,direct,1578,10.10
5303,natalie,,,,,,none,1578,10.10
5304,esther,Esther,,,Substantiv,,direct,1577,10.10
5305,abschaum,tuig,,,Substantiv,,direct,1577,10.10
5306,stevie,,,,,,none,1577,10.10
5307,überwacht,,,,,,none,1576,10.09
5308,schwierige,moeilijk,,,Adjektiv,schwierig,lemma,1576,10.09
5309,ausgedrückt,,,,,,none,1576,10.09
5310,hastings,,,,,,none,1576,10.09
5311,notruf,,,,,,none,1575,10.09
5312,riss,scheur,,,Substantiv,,direct,1575,10.09
5313,bremsen,remmen,,,Verb,,direct,1575,10.09
5314,häufig,vaak,veelvuldig; dikwijls; talrijk,,Adjektiv,,direct,1574,10.08
5315,aktivieren,activeren,,,Verb,,direct,1574,10.08
5316,lloyd,,,,,,none,1574,10.08
5317,anstrengend,hard,,,Adjektiv,,direct,1573,10.07
5318,antwortet,antwoorden,beantwoorden,,Verb,antworten,lemma,1573,10.07
5319,ais,aïs,,,Substantiv,,direct,1573,10.07
5320,verschwörung,samenzwering,,de,Substantiv,,direct,1573,10.07
5321,kellner,kelner,ober; bottelier; keldermeester,,Substantiv,,direct,1572,10.07
5322,startet,starten,,,Verb,starten,lemma,1572,10.07
5323,franklin,,,,,,none,1572,10.07
5324,andermal,,,,,,none,1571,10.06
5325,humphrey,,,,,,none,1570,10.05
5326,evan,,,,,,none,1570,10.05
5327,lkw,vrachtauto,,,,,direct,1570,10.05
5328,erhält,ontvangen,bewaren; verplegen; verzorgen,,Verb,erhalten,lemma,1569,10.05
5329,schmeißt,gooien,,,Verb,schmeißen,lemma,1569,10.05
5330,fürst,Vorst,prins,de,Substantiv,,direct,1569,10.05
5331,carson,,,,,,none,1568,10.04
5332,perry,,,,,,none,1567,10.03
5333,küsse,kussen,zoenen,,Verb,küssen,lemma,1566,10.03
5334,gebet,gebed,,,Substantiv,,direct,1566,10.03
5335,miranda,,,,,,none,1565,10.02
5336,melancholische,,,,,,none,1565,10.02
5337,räume,helemaal,,,Verb,räumen,lemma,1565,10.02
5338,riskiert,,,,,,none,1565,10.02
5339,verhindert,,,,,,none,1564,10.01
5340,ausrede,pretext,,,Substantiv,,direct,1564,10.01
5341,darling,affectie,,,Substantiv,,direct,1563,10.01
5342,tüte,zak,kornet,de,Substantiv,,direct,1563,10.01
5343,manhattan,,,,,,none,1563,10.01
5344,operiert,,,,,,none,1562,10.00
5345,unfassbar,onvatbaar,,,Adjektiv,,direct,1562,10.00
5346,herrin,mevrouw,,de,Substantiv,,direct,1561,10.00
5347,hergestellt,maken,,,Verb,herstellen,lemma,1561,10.00
5348,lila,lila,paars,,Adjektiv,,direct,1560,9.99
5349,gerichtet,richten,,,Verb,richten,lemma,1560,9.99
5350,fordern,eisen,,,Verb,,direct,1559,9.98
5351,fischen,vissen,,,Verb,,direct,1559,9.98
5352,kriminelle,crimineel,,de,Substantiv,,direct,1558,9.98
5353,jenem,dat,,,Demonstrativpronomen,jener,lemma,1558,9.98
5354,verschafft,,,,,,none,1558,9.98
5355,dezember,december,,de,Substantiv,,direct,1558,9.98
5356,anspruch,aanspraak,eis,de,Substantiv,,direct,1558,9.98
5357,räuspert,kuchen,schrapen,,Verb,räuspern,lemma,1558,9.98
5358,sid,,,,,,none,1557,9.97
5359,unsichtbar,onzichtbaar,,,Adjektiv,,direct,1557,9.97
5360,keith,,,,,,none,1557,9.97
5361,seth,Seth,,,Substantiv,,direct,1557,9.97
5362,ersetzt,,,,,,none,1557,9.97
5363,ruby,,,,,,none,1557,9.97
5364,handtuch,handdoek,,de,Substantiv,,direct,1556,9.96
5365,yang,yang,,,Substantiv,,direct,1556,9.96
5366,dale,,,,,,none,1556,9.96
5367,blödes,stom,stompzinnig,,Adjektiv,blöd,lemma,1555,9.96
5368,doof,stom,,,Adjektiv,,direct,1555,9.96
5369,wertvoll,waardevol,,,Adjektiv,,direct,1555,9.96
5370,kardinal,kardinaal,kardinaalsmantel,,Substantiv,,direct,1555,9.96
5371,jefferson,,,,,,none,1555,9.96
5372,kommunikation,communicatie,,,Substantiv,,direct,1554,9.95
5373,operieren,opereren,,,Verb,,direct,1554,9.95
5374,problemen,probleem,,het,Substantiv,Problem,lemma,1554,9.95
5375,aliens,alien,,,Substantiv,Alien,lemma,1554,9.95
5376,cameron,,,,,,none,1554,9.95
5377,erik,,,,,,none,1554,9.95
5378,erkannte,herkennen,onderkennen,,Verb,erkennen,lemma,1554,9.95
5379,river,,,,,,none,1553,9.94
5380,loszuwerden,afkomen van,,,Verb,loswerden,lemma,1552,9.94
5381,unnötig,onnodig,overbodig,,Adjektiv,,direct,1552,9.94
5382,begleite,begeleiden,,,Verb,begleiten,lemma,1552,9.94
